Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5QO79kh1waicV47BqGRL3g,"Save Your Tears","After Hours","The Weeknd",2020-03-20,215626,88,true,791qjlx1xymqu60b4wrzoncpw,2021-09-21T11:52:05Z,"","Republic Records",0.679,0.825,0,-5.487,1,0.0309,0.0212,0.0000121,0.543,0.644,118.049,4
spotify:track:4iJyoBOLtHqaGxP12qzhQI,"Peaches (feat. Daniel Caesar & Giveon)","Justice","Justin Bieber;Daniel Caesar;GIVĒON",2021-03-19,198081,84,true,791qjlx1xymqu60b4wrzoncpw,2021-09-21T11:52:08Z,"節奏藍調","RBMG/Def Jam",0.677,0.696,0,-6.181,1,0.119,0.321,0,0.42,0.464,90.03,4
spotify:track:1EsTfiu26JucTyc5npjJU4,"Love You Different (feat. BEAM)","Justice","Justin Bieber;BEAM",2021-03-19,186695,39,false,791qjlx1xymqu60b4wrzoncpw,2021-09-21T11:52:10Z,"","RBMG/Def Jam",0.756,0.59,8,-6.665,1,0.0589,0.068,0.00000145,0.159,0.382,127.143,4
spotify:track:5NU40QTlXrDUJzDBdv79bg,"Deserve You","Justice","Justin Bieber",2021-03-19,187238,66,false,791qjlx1xymqu60b4wrzoncpw,2021-09-21T11:52:22Z,"","RBMG/Def Jam",0.677,0.633,7,-7.831,1,0.0771,0.0314,0,0.112,0.409,89.934,4
spotify:track:4u4NyuceXP7Uzh7XFJKCr1,"Hold On","Hold On","Justin Bieber",2021-03-05,170813,69,false,791qjlx1xymqu60b4wrzoncpw,2021-09-21T11:52:26Z,"","RBMG/Def Jam",0.658,0.634,1,-5.797,0,0.0413,0.0106,0,0.132,0.29,139.98,4
spotify:track:6T689Jvh5KrSXyaPtUWZtQ,"Criminal","Femme Fatale (Deluxe Version)","Britney Spears",2011-03-28,225080,75,false,791qjlx1xymqu60b4wrzoncpw,2021-09-21T11:52:29Z,"流行樂","Jive",0.696,0.734,7,-5.294,1,0.0298,0.0485,0,0.183,0.711,107.987,4
spotify:track:09CtPGIpYB4BrO8qb1RGsF,"Sorry","Purpose (Deluxe)","Justin Bieber",2015-11-13,200786,89,false,791qjlx1xymqu60b4wrzoncpw,2021-09-21T11:52:31Z,"","RBMG/Def Jam",0.655,0.76,0,-3.669,0,0.045,0.0797,0,0.299,0.409,99.947,4
spotify:track:4umIPjkehX1r7uhmGvXiSV,"Intentions (feat. Quavo)","Changes","Justin Bieber;Quavo",2020-02-14,212866,79,false,791qjlx1xymqu60b4wrzoncpw,2021-09-21T11:52:33Z,"","RBMG/Def Jam",0.806,0.546,9,-6.637,1,0.0579,0.298,0,0.102,0.875,147.988,4
spotify:track:6rPO02ozF3bM7NnOV4h6s2,"Despacito - Remix","Despacito Feat. Justin Bieber (Remix)","Luis Fonsi;Daddy Yankee;Justin Bieber",2017-04-17,228826,74,false,791qjlx1xymqu60b4wrzoncpw,2021-09-21T11:52:35Z,"拉丁音樂,雷鬼動樂","Republic/UMLE",0.653,0.816,2,-4.353,1,0.167,0.228,0,0.0967,0.816,178.085,4
spotify:track:7nZmah2llfvLDiUjm0kiyz,"Friends (with BloodPop®)","Friends (with BloodPop®)","Justin Bieber;BloodPop®",2017-08-17,189466,2,false,791qjlx1xymqu60b4wrzoncpw,2021-09-21T11:52:37Z,"","Universal Music Group",0.744,0.739,8,-5.35,1,0.0387,0.00459,0,0.306,0.649,104.99,4
spotify:track:3jHCXrZNz8fQEEf4BpWCAj,"Purpose","Purpose (Deluxe)","Justin Bieber",2015-11-13,210160,0,false,791qjlx1xymqu60b4wrzoncpw,2021-09-21T11:52:39Z,"","Universal Music Group",0.481,0.285,0,-10.848,1,0.0424,0.9,0,0.123,0.316,130.029,4
spotify:track:09mhA1SJjMHniZPF4Hcihn,"Company","Purpose (Deluxe)","Justin Bieber",2015-11-13,208120,0,false,791qjlx1xymqu60b4wrzoncpw,2021-09-21T11:52:41Z,"","Universal Music Group",0.59,0.797,4,-4.901,0,0.0614,0.132,0,0.0846,0.425,94.948,4
spotify:track:190jyVPHYjAqEaOGmMzdyk,"Beauty And A Beat","Believe (Deluxe Edition)","Justin Bieber;Nicki Minaj",2012-06-15,227986,83,false,791qjlx1xymqu60b4wrzoncpw,2021-09-21T11:52:44Z,"","RBMG/Def Jam",0.602,0.843,0,-4.831,1,0.0593,0.000688,0.0000527,0.0682,0.526,128.003,4
spotify:track:5g4ombYW8dzSHTK0p3pov0,"I Don't Like It, I Love It","Pitch Perfect 3 (Original Motion Picture Soundtrack)","The Bellas",2017-12-15,239666,54,false,791qjlx1xymqu60b4wrzoncpw,2021-09-21T11:52:46Z,"","Pitch Perfect 3",0.78,0.738,2,-4.737,0,0.126,0.499,0,0.527,0.902,117.995,4
spotify:track:1diS6nkxMQc3wwC4G1j0bh,"We're Good","Future Nostalgia (The Moonlight Edition)","Dua Lipa",2021-02-11,165506,69,false,791qjlx1xymqu60b4wrzoncpw,2021-09-21T11:52:49Z,"流行樂","Warner Records",0.722,0.588,6,-5.932,1,0.0544,0.0319,0,0.183,0.59,134.01,4
spotify:track:2MUKw7zEirXqdZZ3xC4hOf,"Hallucinate","Future Nostalgia","Dua Lipa",2020-03-27,208505,52,false,791qjlx1xymqu60b4wrzoncpw,2021-09-21T11:52:51Z,"流行樂","Warner Records",0.627,0.69,10,-5.396,0,0.139,0.033,0,0.0742,0.627,122.053,4
spotify:track:3mC8VlVBwdVxCTq4cYZr64,"Future Nostalgia","Future Nostalgia","Dua Lipa",2020-03-27,184881,48,false,791qjlx1xymqu60b4wrzoncpw,2021-09-21T11:52:53Z,"流行樂","Warner Records",0.875,0.813,7,-4.502,1,0.0579,0.00618,0,0.321,0.859,114.993,4
spotify:track:2oJEygU9oexxrQLQWj365w,"Slow Down","Slow Down","Why Don't We",2020-12-17,188266,40,false,791qjlx1xymqu60b4wrzoncpw,2021-09-21T11:52:55Z,"","Atlantic Records",0.777,0.856,0,-3.825,0,0.0356,0.0121,0.000838,0.0604,0.959,127.011,4
spotify:track:2Oycxb8QbPkpHTo8ZrmG0B,"Prisoner (feat. Dua Lipa)","Plastic Hearts","Miley Cyrus;Dua Lipa",2020-11-27,169338,73,false,791qjlx1xymqu60b4wrzoncpw,2021-09-21T11:52:57Z,"流行樂","RCA Records Label",0.781,0.67,3,-3.912,0,0.0452,0.0103,0,0.0761,0.595,127.99,4
