Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,language,primary_genre,mbti_personality
spotify:track:2MBFevxaJ6bX6Lp7jt3UG1,失落沙洲,徐佳瑩LaLa首張創作專輯,徐佳瑩,2009-05-29,299346,57,false,,2023-09-21T15:50:00Z,"華語流行,台灣流行樂,華語流行樂,古風歌曲",AsiaMuse,0.422,0.366,7,-7.181,1,0.0333,0.728,0,0.112,0.224,80.197,4,Chinese,Mandopop,ISTJ
spotify:track:3NNDJfWMGHuNpvHWTImmlW,慢冷,我好嗎? - 太陽如常升起,梁靜茹,2019-05-16,289604,65,false,,2023-09-21T15:50:00Z,"華語流行,台灣流行樂,華語流行樂",Universal Music Taiwan,0.521,0.471,4,-8.247,1,0.0317,0.786,0,0.105,0.269,92.054,4,Chinese,Mandopop,ISTP
spotify:track:0KWnRv3wxjltYVB3MqjNd2,Without You,#osnrap,高爾宣 OSN,2019-04-30,175500,63,true,,2023-09-21T15:50:00Z,"華語節奏藍調,華語嘻哈樂,華語流行,台灣流行樂,華語流行樂","史科特音樂股份有限公司 SKR Co., Ltd.",0.662,0.698,11,-4.613,1,0.079,0.573,0,0.11,0.29,80.005,4,Chinese,Mandopop,ENFP
spotify:track:6XY80Ofqd8j0SGiEdRLwCp,年少有為,耳朵,李榮浩,2018-10-17,279146,65,false,,2023-09-21T15:50:00Z,"華語流行,華語流行樂,台灣流行樂,華語節奏藍調",WM Taiwan,0.518,0.462,10,-8.471,1,0.0277,0.322,0.00000313,0.117,0.289,131.892,4,Chinese,Mandopop,INTP
spotify:track:5DSF1VTSaaAFIesJLlltuM,紅色高跟鞋,若你碰到他,蔡健雅,2009-08-19,206586,64,false,,2023-09-21T15:50:00Z,"華語流行,台灣流行樂,華語流行樂","AsiaMuse Entertainment Co., Ltd.",0.476,0.659,11,-4.898,0,0.0251,0.104,0,0.232,0.492,176.018,4,Chinese,Mandopop,ENTP
spotify:track:2DcmVSLAg0ZzfOQxDshZHY,給我一個理由忘記,寂寞不痛,A-Lin,2011-07-08,285546,64,false,,2023-09-21T15:50:00Z,"華語流行,台灣流行樂,華語流行樂,古風歌曲",Avex Taiwan Inc.,0.399,0.512,8,-5.801,1,0.0357,0.583,0,0.104,0.197,133.175,4,Chinese,Mandopop,ISTP
spotify:track:3OC84eKMxRJ4x0Hcwl9i4i,刻在我心底的名字 (Your Name Engraved Herein) - 電影<刻在你心底的名字>主題曲,刻在我心底的名字 (Your Name Engraved Herein),盧廣仲,2020-08-25,320165,66,false,,2023-09-21T15:50:00Z,"華語流行,台灣流行樂,台灣獨立音樂,華語流行樂,華語獨立音樂",Team Ear Music,0.425,0.201,10,-11.961,1,0.0373,0.873,0,0.111,0.267,136.328,4,Chinese,Mandopop,ISTP
spotify:track:3xJK8ywApYVEYIDhymYMC6,遇見,The Moment,孫燕姿,2003,209760,70,false,,2023-09-21T15:50:00Z,"華語流行,台灣流行樂,華語流行樂,粵語流行樂",WM Taiwan,0.631,0.233,8,-13.016,1,0.0329,0.841,0.00000324,0.228,0.442,91.864,4,Chinese,Mandopop,INFP
spotify:track:72OVnXDzugvrCU25lMi9au,"如果可以 - 電影""月老""主題曲","如果可以 (電影""月老""主題曲)",韋禮安,2021-11-05,274400,67,false,,2023-09-21T15:50:00Z,"華語流行,台灣流行樂,華語流行樂,華語節奏藍調",Sony Music Entertainment,0.54,0.54,3,-6.368,1,0.029,0.241,0,0.351,0.372,74.969,4,Chinese,Mandopop,INFJ
spotify:track:4E5PyVOBH25CICgTURwGXM,CHANGE,Outta Body靈魂出竅,瘦子E.SO,2020-07-10,161632,52,false,,2023-09-21T15:50:00Z,"華語嘻哈樂,華語流行,華語節奏藍調,台灣流行樂,華語流行樂","Rock Records Co., Ltd.",0.737,0.519,7,-7.861,1,0.36,0.705,0,0.1,0.588,97.857,4,English,Mandopop,INFP
spotify:track:5CcqjfODDoSpI1xuTg9NCC,兜圈,必娶女人 (電視原聲帶),林宥嘉,2015-11-20,243733,52,false,,2023-09-21T15:50:00Z,"華語流行,台灣流行樂,華語流行樂,華語節奏藍調,台灣獨立音樂,粵語流行樂",HIM International Music Inc.,0.587,0.366,7,-7.51,1,0.0344,0.819,0,0.121,0.305,117.959,4,Chinese,Mandopop,INFP
spotify:track:5R3KGS53DCrlbi6cxECAEH,無人知曉,無人知曉,田馥甄,2020-09-25,288733,56,false,,2023-09-21T15:50:00Z,"華語流行,華語流行樂,台灣流行樂",何樂音樂有限公司,0.471,0.432,4,-7.846,0,0.0454,0.859,0,0.0915,0.159,129.386,4,Chinese,Mandopop,ISTP
spotify:track:0BuTVSIbiQGdxW7njjKng7,讓我為你唱情歌,欲望反光,蕭敬騰,2018-06-22,251000,51,false,,2023-09-21T15:50:00Z,"華語流行,台灣流行樂,華語流行樂,華語搖滾樂",WM Taiwan,0.377,0.682,3,-3.795,1,0.0312,0.0905,0,0.163,0.42,171.106,4,Chinese,Mandopop,ENTJ
