Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7GDgpad2BQVuDUzaxHFakc,"LIKE THAT","BABYMONS7ER","BABYMONSTER",2024-04-01,168358,75,false,316b4f64ay46nb3vgvmu24fcsrxy,2024-04-13T22:59:01Z,"韓國流行樂","YG Entertainment",0.871,0.5,11,-8.675,0,0.103,0.32,0.00000349,0.0672,0.76,101.959,4
spotify:track:6tuVceHAyUCDRhbEC2634b,"masked up (feat. YoungBoy Never Broke Again)","early life crisis","Nettspend;YoungBoy Never Broke Again",2026-03-06,136923,69,true,316b4f64ay46nb3vgvmu24fcsrxy,2026-04-14T08:54:43Z,"rage 饒舌樂,地下嘻哈樂","Nettspend/Grade A/Interscope Records",0.267,0.949,7,-0.898,1,0.382,0.000745,0,0.803,0.641,71.947,4
spotify:track:5Q1tv4GTxP3IJeGMOKdrFO,"MEGAVERSE","ROCK-STAR","Stray Kids",2023-11-10,185520,76,false,316b4f64ay46nb3vgvmu24fcsrxy,2025-05-16T19:39:48Z,"韓國流行樂,噪音音樂","Republic Records - Stray Kids",0.613,0.73,10,-3.645,0,0.122,0.00875,0.00000225,0.268,0.576,160.051,4
spotify:track:4lR8sYGMGZPvthF2yUfo7T,"Smart","EASY","LE SSERAFIM",2024-02-19,166384,68,false,316b4f64ay46nb3vgvmu24fcsrxy,2024-04-13T22:59:01Z,"韓國流行樂","SOURCE MUSIC",0.799,0.675,1,-5.474,1,0.0465,0.115,0,0.0833,0.594,113.076,4
spotify:track:1OhIn0L6iofnk5bjalWfHq,"Sudden Shower","Lovely Runner, Pt. 1 (Original Soundtrack)","ECLIPSE",2024-04-08,233031,70,false,316b4f64ay46nb3vgvmu24fcsrxy,2026-04-14T08:44:36Z,"韓語抒情歌,原聲帶","Genie Music Corporation, Stone Music Entertainment",0.469,0.506,0,-6.283,1,0.0291,0.587,0,0.102,0.217,133.403,4
spotify:track:3AjfuVk6olyesS7cVfofBE,"HOT SAUCE","HOT SAUCE","BABYMONSTER",2025-07-01,147807,73,false,316b4f64ay46nb3vgvmu24fcsrxy,2025-08-15T02:02:10Z,"韓國流行樂","YG Entertainment",0.951,0.86,0,-4.428,1,0.171,0.0122,0.0000029,0.0254,0.811,132.975,4
spotify:track:7mpdNiaQvygj2rHoxkzMfa,"Bite Me","DARK BLOOD","ENHYPEN",2023-05-22,157531,81,false,316b4f64ay46nb3vgvmu24fcsrxy,2023-07-19T02:49:49Z,"韓國流行樂","BELIFT LAB",0.795,0.781,1,-4.647,1,0.141,0.285,0,0.108,0.687,104.972,4
spotify:track:74X2u8JMVooG2QbjRxXwR8,"Perfect Night","Perfect Night","LE SSERAFIM",2023-10-27,159080,77,false,316b4f64ay46nb3vgvmu24fcsrxy,2024-01-15T00:30:06Z,"韓國流行樂","SOURCE MUSIC",0.697,0.82,5,-4.502,1,0.0308,0.1,0,0.0631,0.502,136.054,4
spotify:track:56v8WEnGzLByGsDAXDiv4d,"ETA","NewJeans 2nd EP 'Get Up'","NewJeans",2023-07-21,151373,78,false,316b4f64ay46nb3vgvmu24fcsrxy,2026-02-19T22:15:53Z,"韓國流行樂","ADOR",0.812,0.749,10,-6.389,0,0.0397,0.108,0,0.0599,0.841,134.971,4
spotify:track:7AKwWqnoMmvCqBQtcdIECG,"ExtraL (feat. Doechii)","ExtraL (feat. Doechii)","JENNIE;Doechii",2025-02-21,167754,71,true,316b4f64ay46nb3vgvmu24fcsrxy,2025-09-13T19:21:03Z,"韓國流行樂","OA Entertainment/Columbia",0.758,0.726,1,-6.452,1,0.1,0.0177,0.000168,0.192,0.699,139.932,4
spotify:track:6LuvVxHXQDtsPxtE07Ycbe,"S-Class","5-STAR","Stray Kids",2023-06-02,195688,56,false,316b4f64ay46nb3vgvmu24fcsrxy,2023-07-19T02:49:49Z,"韓國流行樂,噪音音樂","Sony Music Labels Inc.",0.886,0.781,5,-1.837,0,0.333,0.0895,0,0.0715,0.672,104.996,4
spotify:track:6je5cTal6PyeITNrOzkCoS,"Welcome to the Show","Fourever","DAY6",2024-03-18,217067,59,false,316b4f64ay46nb3vgvmu24fcsrxy,2025-11-12T19:35:45Z,"韓國搖滾樂,韓國流行樂","Republic Records - DAY6",0.595,0.758,9,-4.488,1,0.035,0.0378,0,0.0561,0.377,132.01,4
spotify:track:3entdIWiOuQfcXIkJEABsV,"Really Like You","DRIP","BABYMONSTER",2024-11-01,197657,74,false,316b4f64ay46nb3vgvmu24fcsrxy,2025-12-12T11:54:44Z,"韓國流行樂","YG Entertainment",0.828,0.587,5,-5.936,0,0.0488,0.152,0,0.524,0.798,97.018,4
spotify:track:4WFfPxJv1KRekG6mxn837K,"EYES CLOSED (with ZAYN)","EYES CLOSED (with ZAYN)","JISOO;ZAYN",2025-10-10,181375,80,false,316b4f64ay46nb3vgvmu24fcsrxy,2025-11-12T19:35:45Z,"韓國流行樂","Warner Records",0.556,0.737,11,-5.354,1,0.067,0.2,0,0.108,0.376,75.034,4
spotify:track:02CrqOYzrJR8fYOffhvRZZ,"number one girl","number one girl","ROSÉ",2024-11-22,216442,68,false,316b4f64ay46nb3vgvmu24fcsrxy,2025-01-08T19:32:42Z,"韓國流行樂","Atlantic Records",0.288,0.377,7,-7.775,1,0.0317,0.288,0,0.101,0.135,175.43,3
spotify:track:3TQHPUEVdvdq8ejwEcHUlL,"If I have you only (My love X Nerd Connection)","If I have you only (My love X Nerd Connection)","Nerd Connection",2023-08-15,250573,60,false,316b4f64ay46nb3vgvmu24fcsrxy,2026-04-14T08:44:36Z,"韓語抒情歌,韓國搖滾樂","TOON STUDIO",0.54,0.353,9,-5.224,1,0.0258,0.332,0,0.145,0.137,137.859,4
